ISBN,Title,Subtitle,Authors,Publish Year,eBook Link,Price
978-981-99-8270-7,China’s e-Science Blue Book 2023,Unavailable,Chinese Academy of Sciences;  Ministry of Education of the PRC;  Ministry of Science and Technology of the PRC;  China Association for Science and Technology;  Chinese Academy of Social Sciences;  Chinese Academy of Engineering;  National Natural Science Foundation of China;  Chinese Academy of Agricultural Sciences,2024,https://doi.org/10.1007/978-981-99-8270-7,260
978-981-15-8342-1,China’s e-Science Blue Book 2020,Unavailable,Chinese Academy of Sciences;  Cyberspace Administration of China;  Ministry of Education of the PRC;  Ministry of Science and Technology of the PRC;  China Association for Science and Technology;  Chinese Academy of Social Sciences;  National Natural Science Foundation of China;  Chinese Academy of Agricultural Sciences,2021,https://doi.org/10.1007/978-981-15-8342-1,200
978-3-319-50515-2,"Freezing Colloids: Observations, Principles, Control, and Use","Applications in Materials Science, Life Science, Earth Science, Food Science, and Engineering",Sylvain Deville,2017,https://doi.org/10.1007/978-3-319-50515-2,478
978-981-19-4910-4,Fundamental and Applied Sciences in Asia,International Conference on Science Technology and Social Sciences (ICSTSS 2018),Nor Azizah Yacob; Duratul Ain Tholibon; Nor Yuziah Mohd Yunus; Zadariana Jamil; Syuhada Mohd Tahir,2022,https://doi.org/10.1007/978-981-19-4910-4,400
978-1-4020-3910-2,Modern Magnetic Resonance,"Part 1: Applications in Chemistry, Biological and Marine Sciences, Part 2: Applications in Medical and Pharmaceutical Sciences, Part 3: Applications in Materials Science and Food Science",Graham A. Webb,2006,https://doi.org/10.1007/1-4020-3910-7,1678
978-3-319-72577-2,Philosophy of Science,"Between the Natural Sciences, the Social Sciences, and the Humanities",Alexander Christian; David Hommen; Nina Retzlaff; Gerhard Schurz,2018,https://doi.org/10.1007/978-3-319-72577-2,260
978-94-010-3667-2,The Concept and the Role of the Model in Mathematics and Natural and Social Sciences,"Proceedings of the Colloquium sponsored by the Division of Philosophy of Sciences of the International Union of History and Philosophy of Sciences organized at Utrecht, January 1960",Hans Freudenthal,1961,https://doi.org/10.1007/978-94-010-3667-2,280
978-3-030-61299-3,Unsettling Responsibility in Science Education,"Indigenous Science, Deconstruction, and the Multicultural Science Education Debate",Marc Higgins,2021,https://doi.org/10.1007/978-3-030-61299-3,0
978-3-319-93549-2,Advanced Statistics for the Behavioral Sciences,A Computational Approach with R,Jonathon D. Brown,2018,https://doi.org/10.1007/978-3-319-93549-2,419
978-981-15-2700-5,Advanced Studies in Behaviormetrics and Data Science,Essays in Honor of Akinori Okada,Tadashi Imaizumi; Atsuho Nakayama; Satoru Yokoyama,2020,https://doi.org/10.1007/978-981-15-2700-5,240
978-3-540-36184-8,"Advances in Computing Science – ASIAN 2002: Internet Computing and Modeling, Grid Computing, Peer-to-Peer Computing, and Cluster Computing","7th Asian Computing Science Conference, Hanoi, Vietnam, December 4-6, 2002, Proceedings",Jean-Marie Alain,2002,https://doi.org/10.1007/3-540-36184-7,100
978-4-431-54974-1,Applied Data-Centric Social Sciences,"Concepts, Data, Computation, and Theory",Aki-Hiro Sato,2014,https://doi.org/10.1007/978-4-431-54974-1,100
978-981-10-0401-8,Applied Statistics for Social and Management Sciences,Unavailable,Abdul Quader Miah,2016,https://doi.org/10.1007/978-981-10-0401-8,419
978-94-011-0495-1,Authentic School Science,Knowing and Learning in Open-Inquiry Science Laboratories,Wolff-Michael Roth,1995,https://doi.org/10.1007/978-94-011-0495-1,280
978-3-319-91143-4,Bayesian Inference and Maximum Entropy Methods in Science and Engineering,"MaxEnt 37, Jarinu, Brazil, July 09–14, 2017",Adriano Polpo; Julio Stern; Francisco Louzada; Rafael Izbicki; Hellinton Takada,2018,https://doi.org/10.1007/978-3-319-91143-4,320
978-3-319-15287-5,Bayesian Methods for the Physical Sciences,Learning from Examples in Astronomy and Physics,Stefano Andreon; Brian Weaver,2015,https://doi.org/10.1007/978-3-319-15287-5,220
978-94-010-3381-7,Boston Studies in the Philosophy of Science,Proceedings of the Boston Colloquium for the Philosophy of Science 1966/1968,Robert S. Cohen; Marx W. Wartofsky,1969,https://doi.org/10.1007/978-94-010-3381-7,100
978-94-010-3263-6,Boston Studies in the Philosophy of Science,Proceedings of the Boston Colloquium for the Philosophy of Science 1961/1962,Marx W. Wartofsky,1963,https://doi.org/10.1007/978-94-010-3263-6,100
978-1-4842-7419-4,Building an Effective Data Science Practice,A Framework to Bootstrap and Manage a Successful Data Science Practice,Vineet Raina; Srinath Krishnamurthy,2022,https://doi.org/10.1007/978-1-4842-7419-4,107
978-94-009-6525-6,Change and Progress in Modern Science,"Papers related to and arising from the Fourth International Conference on History and Philosophy of Science, Blacksburg, Virginia, November 1982",Joseph C. Pitt,1985,https://doi.org/10.1007/978-94-009-6525-6,280
978-94-007-2759-5,Characterizing the Robustness of Science,After the Practice Turn in Philosophy of Science,Léna Soler; Emiliano Trizio; Thomas Nickles; William Wimsatt,2012,https://doi.org/10.1007/978-94-007-2759-5,280
978-3-030-19955-5,Computer Science – Theory and Applications,"14th International Computer Science Symposium in Russia, CSR 2019, Novosibirsk, Russia, July 1–5, 2019, Proceedings",René van Bevern; Gregory Kucherov,2019,https://doi.org/10.1007/978-3-030-19955-5,100
978-3-319-90530-3,Computer Science – Theory and Applications,"13th International Computer Science Symposium in Russia, CSR 2018, Moscow, Russia, June 6–10, 2018, Proceedings",Fedor V. Fomin; Vladimir V. Podolskii,2018,https://doi.org/10.1007/978-3-319-90530-3,180
978-3-658-38443-2,Computer science to the Point,Computer Science for Life Sciences Students and Other Non-Computer Scientists,Boris Tolg,2023,https://doi.org/10.1007/978-3-658-38443-2,419
978-94-009-9421-8,Counter-Movements in the Sciences,The Sociology of the Alternatives to Big Science,H. Nowotny; H. Rose,1979,https://doi.org/10.1007/978-94-009-9421-8,280
978-3-031-30592-4,"CSEI: International Conference on Computer Science, Electronics and Industrial Engineering (CSEI)","Advances and Applications in Computer Science, Electronics and Industrial Engineering. Proceedings of the Conference on Computer Science, Electronics and Industrial Engineering (CSEI 2022)",Marcelo V. Garcia; Carlos Gordón-Gallegos,2023,https://doi.org/10.1007/978-3-031-30592-4,400
978-3-658-36295-9,Data Science – Analytics and Applications,Proceedings of the 4th International Data Science Conference – iDSC2021,Peter Haber; Thomas J. Lampoltshammer; Helmut Leopold; Manfred Mayr,2022,https://doi.org/10.1007/978-3-658-36295-9,240
978-3-658-32182-6,Data Science – Analytics and Applications,Proceedings of the 3rd International Data Science Conference – iDSC2020,Peter Haber; Thomas Lampoltshammer; Manfred Mayr; Kathrin Plankensteiner,2021,https://doi.org/10.1007/978-3-658-32182-6,327
978-3-031-42171-6,Data Science—Analytics and Applications,Proceedings of the 5th International Data Science Conference—iDSC2023,Peter Haber; Thomas J. Lampoltshammer; Manfred Mayr,2024,https://doi.org/10.1007/978-3-031-42171-6,180
978-3-319-55477-8,Data Science and Social Research,"Epistemology, Methods, Technology and Applications",N. Carlo Lauro; Enrica Amaturo; Maria Gabriella Grassia; Biagio Aragona; Marina Marino,2017,https://doi.org/10.1007/978-3-319-55477-8,280
978-3-030-51222-4,Data Science and Social Research II,"Methods, Technologies and Applications",Paolo Mariani; Mariangela Zenga,2021,https://doi.org/10.1007/978-3-030-51222-4,320
